player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Chaz Green,9524,T,FLORIDA,11,100.0,1,163,68.3,78.5,61.9,3,6,254,100.0,100.0,98.2,1,9,0,566,0,0,194,566,266,266,34,338,300,0
Joe Thuney,10712,G,NC STATE,8,100.0,0,248,88.7,87.7,89.6,0,4,281,100.0,100.0,98.9,1,5,1,566,0,564,1,566,295,295,0,0,271,1
Ted Karras,10855,G,ILLINOIS,9,100.0,0,187,75.7,89.6,70.5,0,7,330,100.0,100.0,98.9,0,7,0,563,0,0,0,563,350,350,563,0,213,0
Jarvis Harrison,9585,G,TEXAS A&M,10,100.0,0,312,68.1,60.1,71.3,4,10,329,100.0,100.0,97.0,2,17,3,531,0,335,189,531,339,339,0,0,192,3
Conor McDermott,11966,T,UCLA,10,100.0,0,324,81.2,85.7,79.2,2,5,271,100.0,100.0,97.2,1,11,4,529,0,0,512,529,288,288,0,2,241,15
Rees Odhiambo,10731,T,BOISE ST,8,100.0,0,120,78.2,77.9,73.1,2,4,256,100.0,100.0,98.4,0,7,1,517,0,0,515,517,264,264,0,0,253,1
D.J. Humphries,9457,T,FLORIDA,9,100.0,0,163,74.4,73.6,72.5,1,5,200,100.0,100.0,97.0,2,9,3,505,0,2,503,505,208,208,0,0,297,0
Wyatt Teller,46131,G,VA TECH,11,100.0,1,337,79.4,77.6,82.3,0,7,258,100.0,100.0,98.6,6,7,0,497,0,496,0,497,274,274,0,0,223,1
Colby Gossett,46673,G,APP STATE,8,100.0,0,108,87.1,75.0,88.6,0,6,168,100.0,100.0,98.2,2,6,0,485,0,0,0,485,186,186,485,0,299,0
Roderick Johnson,27593,T,FLORIDA,11,100.0,0,163,74.5,78.1,70.0,4,7,183,100.0,100.0,97.0,2,11,0,428,0,0,0,428,190,190,0,427,238,1
Trent Brown,9677,G,FLORIDA,10,100.0,0,163,75.2,88.1,74.3,0,1,166,100.0,100.0,99.1,3,2,1,341,0,0,0,341,173,173,337,4,168,0
Brian Allen,46104,G,MICH STATE,11,100.0,0,223,62.5,69.8,62.9,0,5,99,100.0,100.0,96.5,2,6,1,277,61,188,0,277,106,106,28,0,171,0
Rod Taylor,46195,G,OLE MISS,12,100.0,0,226,62.0,55.2,62.0,1,4,134,100.0,100.0,97.4,0,6,1,249,0,2,0,249,139,139,247,0,110,0
Bradley Bozeman,27934,C,ALABAMA,8,100.0,0,103,72.4,80.4,67.6,0,0,104,100.0,100.0,100.0,0,0,0,235,202,0,0,235,107,107,33,0,128,0
Roderick Johnson,11915,T,FLORIDA ST,6,100.0,0,167,69.7,64.5,71.6,1,6,118,100.0,100.0,97.0,2,7,0,219,0,0,219,219,123,123,0,0,96,0
Frank Ragnow,39137,C,ARKANSAS,8,100.0,0,111,73.6,78.1,70.9,1,0,62,100.0,100.0,99.2,1,1,0,208,201,2,0,208,65,65,1,0,143,4
Kofi Amichia,11967,T,USF,6,100.0,0,327,62.0,78.7,52.5,0,3,95,100.0,100.0,97.4,1,4,1,155,0,0,6,155,100,100,0,145,55,4
Matt Pryor,46647,G,TCU,8,100.0,0,305,67.7,81.4,69.3,0,1,68,100.0,100.0,99.3,2,1,0,151,0,0,0,151,71,71,131,20,80,0
Isaiah Wynn,46048,G,GEORGIA,8,100.0,0,173,78.4,68.6,81.1,0,0,29,100.0,100.0,100.0,1,0,0,103,0,100,0,103,29,29,0,0,74,3
David Sharpe,11884,T,FLORIDA,5,100.0,0,163,61.7,76.6,56.1,0,1,37,100.0,100.0,98.6,0,1,0,90,0,0,90,90,37,37,0,0,53,0
