player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Isaac Yiadom,49355,CB,BOSTON COL,6,0,0,80.0,0,0,121,0,0,58.6,58.9,76.2,,60.0,29.4,0,0,0,0,13.0,50.0,2,0,0,95.0,4,0,0,7,21,35,40,0,0,0,0,0,0,40,0,5,12,1,2,0,5,0,0,34,3,8.5
M.J. Stewart,49397,CB,N CAROLINA,11,1,0,69.6,0,0,245,0,0,62.8,65.2,81.6,,70.8,53.7,0,0,0,2,56.0,21.1,4,3,0,114.7,16,0,0,37,174,92,212,0,0,0,0,0,0,212,0,120,1,3,14,0,23,0,3,283,140,17.7
Jordan Thomas,49443,CB,OKLAHOMA,8,1,0,60.6,0,0,261,0,0,59.2,62.9,82.8,55.4,82.5,83.5,0,0,0,0,47.0,3.8,1,2,0,126.1,20,0,0,11,290,180,310,0,0,0,0,0,9,310,1,129,0,3,24,0,33,0,3,342,98,17.1
Tim Harris,49512,CB,VIRGINIA,7,1,0,66.7,0,0,335,1,0,61.3,63.1,82.9,,71.4,56.9,0,0,0,1,56.0,20.8,5,3,2,90.3,26,0,0,10,278,188,293,0,0,0,0,0,2,293,0,105,3,3,18,1,39,0,0,406,147,15.6
Cornell Armstrong,50351,CB,SO MISS,12,4,0,61.8,0,0,296,1,0,58.0,60.3,84.4,,68.4,66.5,0,0,0,0,29.0,13.5,5,3,2,101.0,21,0,0,25,407,216,440,0,0,0,0,0,0,440,0,224,8,9,28,4,34,0,2,227,53,10.8
Kamrin Moore,50460,CB,BOSTON COL,9,0,0,56.3,0,0,121,0,0,64.2,62.6,79.8,,47.5,68.7,0,0,0,0,46.0,10.0,1,3,0,89.6,9,0,0,6,77,85,106,0,0,0,0,0,4,106,0,21,19,2,9,0,16,0,0,156,55,17.3
Parry Nickerson,50511,CB,TULANE,12,4,0,54.3,0,0,319,1,0,80.4,82.7,55.2,,85.1,57.8,0,0,0,6,45.0,13.1,8,7,2,49.6,38,0,0,32,767,443,819,0,0,0,0,0,3,819,0,376,17,18,49,3,70,0,3,399,139,10.5
Avonte Maddox,50543,CB,PITTSBURGH,10,2,0,48.6,2,0,268,0,0,59.6,61.0,83.8,,66.4,60.9,0,0,0,0,62.0,15.4,4,2,2,95.1,18,0,0,13,383,239,401,0,0,0,0,0,2,401,0,162,3,7,20,0,37,0,2,306,103,17.0
Rashaan Gaulden,51241,CB,TENNESSEE,2,0,0,0.0,0,0,307,0,0,51.7,52.5,73.6,,61.1,,0,0,0,0,,100.0,1,0,0,39.6,0,0,0,0,0,4,11,0,0,0,0,0,0,11,0,7,11,0,0,0,1,0,0,0,0,
Jalen Ramsey,10639,CB,FLORIDA ST,12,6,2,55.7,0,0,167,1,1,81.5,82.1,2.7,61.1,90.2,86.3,2,3,0,0,58.0,7.7,4,4,3,74.7,34,1,0,124,648,418,798,12,0,0,12,0,3,786,33,347,11,24,42,1,61,6,1,303,108,8.9
Eli Apple,10644,CB,OHIO STATE,12,6,0,42.3,1,0,260,1,0,77.9,77.8,54.0,68.5,75.2,51.2,1,0,0,1,56.0,19.4,7,5,5,67.6,22,0,0,84,714,435,817,8,0,0,8,0,1,809,3,379,10,11,23,3,52,1,2,318,116,14.5
Vernon Hargreaves III,10645,CB,FLORIDA,11,2,0,46.3,0,1,163,0,0,78.5,78.2,85.7,,71.6,52.8,0,0,0,4,52.0,20.0,5,2,0,24.3,19,0,0,38,529,306,584,7,0,0,7,0,3,577,0,278,7,4,18,0,41,0,0,228,72,12.0
William Jackson III,10658,CB,HOUSTON,10,3,0,46.4,1,0,182,1,0,82.7,81.2,46.5,48.3,75.7,84.8,0,0,2,3,65.0,8.8,3,10,4,60.5,32,0,0,81,557,373,645,2,0,0,2,0,0,643,2,270,5,10,28,2,69,0,2,468,136,14.6
Artie Burns,10659,CB,MIAMI FL,11,3,0,51.1,1,0,220,0,0,76.5,72.0,0.0,42.6,70.9,72.4,0,1,0,6,41.0,11.4,5,3,8,41.9,23,0,0,64,467,283,549,6,0,0,6,0,3,543,5,261,9,8,36,1,45,1,1,318,116,13.8
Xavien Howard,10672,CB,BAYLOR,12,3,0,35.8,1,0,118,1,1,82.5,80.9,52.6,66.0,76.1,75.7,1,1,0,5,46.0,11.1,5,7,6,21.8,24,0,0,106,761,472,893,20,0,0,20,0,0,873,2,419,6,17,37,1,67,2,1,257,88,10.7
Mackensie Alexander,10688,CB,CLEMSON,11,2,0,31.0,0,0,140,0,0,72.7,74.1,86.5,68.8,72.6,57.7,1,0,0,0,23.0,18.2,4,5,1,45.6,13,0,0,19,463,316,589,12,0,0,12,0,3,577,3,270,92,3,16,2,42,1,0,179,66,13.8
Sean Davis,10692,CB,MARYLAND,12,4,0,61.7,0,4,215,1,0,60.2,64.6,56.8,63.5,78.2,77.7,0,2,0,3,58.0,12.2,10,4,5,104.0,50,1,0,132,657,433,858,17,0,0,17,0,19,841,6,419,33,18,68,4,81,3,7,721,241,14.4
Cyrus Jones,10694,CB,ALABAMA,12,1,0,56.9,0,1,103,1,0,79.3,83.4,49.5,70.9,91.4,82.5,1,0,0,1,66.0,6.7,2,5,4,97.2,29,0,0,25,684,442,727,4,0,0,4,0,6,723,2,283,8,13,27,4,51,1,4,364,118,12.6
Will Redmond,10702,CB,MISS STATE,7,2,0,47.8,0,0,227,0,0,74.4,73.7,83.7,59.5,67.3,60.0,2,0,0,2,22.0,22.6,7,0,0,41.0,11,0,0,41,268,167,348,1,0,0,1,0,2,347,5,176,36,9,22,0,23,2,1,115,16,10.5
KeiVarae Russell,10708,CB,NOTRE DAME,11,1,0,61.3,0,2,258,0,0,71.9,70.5,86.2,58.9,62.3,73.9,0,0,0,2,51.0,10.2,6,3,2,89.7,38,1,0,72,555,354,704,14,0,0,14,0,2,690,11,339,61,14,52,3,62,1,2,583,147,15.3
Daryl Worley,10711,CB,W VIRGINIA,12,3,0,53.6,1,2,343,1,0,78.1,81.0,86.2,58.2,84.8,78.3,0,1,0,6,77.0,10.0,5,11,4,72.1,37,0,0,40,733,437,793,0,0,0,0,0,14,793,1,355,6,17,42,2,69,1,4,699,211,18.9
