player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ezekiel Elliott,10638,HB,OHIO STATE,12,199,27,17,34.8,415,0,1194,1,6,27,657.0,48.9,34,0,260,0,69,91.0,86.7,32.0,,47.2,62.9,88.6,82.2,65,2,195,24,185,323,0,0,26,223,10,1194,657.0,3.3,6.0,1.05,0
Jonathan Williams,10790,HB,ARKANSAS,12,188,63,14,34.0,370,0,1089,1,0,63,687.0,115.7,34,1,111,4,75,47.9,82.1,88.9,54.8,71.4,52.6,81.6,69.1,90,1,68,11,97,209,0,0,16,199,11,1089,687.0,3.65,5.8,0.7,0
DeAndre Washington,10777,HB,TEXAS TECH,12,187,54,14,32.1,351,0,1095,7,12,54,660.0,107.3,34,1,315,1,30,90.9,77.8,31.1,,77.2,50.8,83.6,72.4,72,2,327,30,293,249,0,0,45,217,2,1095,660.0,3.53,5.9,1.12,0
Alex Collins,10805,HB,ARKANSAS,12,186,34,15,40.8,421,0,1031,0,1,34,641.0,63.8,26,3,111,5,90,64.9,76.3,87.9,,77.8,55.4,74.1,57.6,84,0,9,3,52,202,0,0,5,189,12,1031,641.0,3.45,5.5,0.17,0
Nick Chubb,45783,HB,GEORGIA,12,186,55,18,49.0,629,0,1283,0,6,55,700.0,112.5,35,0,173,4,75,69.0,82.4,86.8,,59.0,83.4,79.4,58.8,83,0,213,18,124,201,0,0,20,204,12,1283,700.0,3.76,6.9,1.72,0
Mike Davis,9559,HB,S CAROLINA,12,186,28,14,33.3,307,0,922,4,5,28,477.0,39.2,23,2,289,3,47,67.3,71.4,85.5,,84.5,55.2,72.9,56.4,40,0,349,30,194,214,0,0,37,216,9,922,477.0,2.56,5.0,1.8,1
Leonard Fournette,11759,HB,LSU,12,177,30,13,34.8,322,0,924,1,2,30,395.0,39.0,21,2,211,2,39,82.8,74.3,87.3,,79.0,65.4,72.2,57.4,46,0,94,6,42,227,0,0,8,183,8,924,395.0,2.23,5.2,2.24,0
Josh Robinson,9638,HB,MISS STATE,12,177,47,18,44.3,505,1,1140,3,10,47,623.0,97.9,35,0,227,2,23,74.5,75.2,58.4,,62.3,62.7,78.1,61.7,73,1,370,28,237,316,0,0,36,205,11,1140,623.0,3.52,6.4,1.56,0
Jalen Hurd,45752,HB,TENNESSEE,12,174,36,7,20.4,159,0,778,4,12,36,484.0,64.5,22,1,307,1,44,83.0,72.3,86.6,,79.4,69.8,71.5,57.6,43,0,217,33,217,234,0,0,38,207,3,778,484.0,2.78,4.5,1.0,0
Kareem Hunt,11841,HB,TOLEDO,9,173,48,21,47.7,647,0,1357,0,0,48,836.0,128.2,41,1,316,0,85,90.6,87.1,40.9,,80.5,55.7,88.7,49.5,91,2,39,8,126,203,0,0,11,181,11,1357,836.0,4.83,7.8,0.31,0
T.J. Yeldon,9469,HB,ALABAMA,11,170,48,12,27.5,243,0,885,4,8,48,461.0,82.1,26,1,103,3,33,63.5,77.9,87.8,,71.8,56.4,79.9,54.4,31,0,180,15,166,199,0,0,22,185,8,885,461.0,2.71,5.2,1.08,0
Matt Jones,9528,HB,FLORIDA,11,166,29,12,34.1,279,0,817,0,0,29,454.0,44.8,22,1,163,3,53,62.2,68.4,84.7,,55.3,50.6,69.1,71.0,44,1,65,11,108,225,0,0,19,177,6,817,454.0,2.73,4.9,0.6,0
Marcus Murphy,9663,HB,MISSOURI,12,158,25,11,26.2,196,0,747,3,5,25,383.0,39.7,23,0,229,1,38,81.4,66.8,49.8,58.1,73.2,59.1,67.7,65.2,29,1,185,25,170,199,0,0,37,183,4,747,383.0,2.42,4.7,1.09,0
Tyler Ervin,10753,HB,S JOSE ST,12,156,29,11,43.6,384,0,880,1,9,29,478.0,63.3,21,0,285,0,11,90.3,74.9,53.2,,67.8,69.9,75.9,61.8,89,1,304,28,236,210,0,0,40,184,4,880,478.0,3.06,5.6,1.29,0
Elijah McGuire,11943,HB,LA LAFAYET,12,151,45,16,51.6,593,0,1149,2,16,45,647.0,135.4,26,0,207,0,40,90.2,84.3,87.6,92.5,31.5,90.9,78.2,73.2,75,0,429,42,151,205,0,0,50,193,14,1149,647.0,4.28,7.6,2.84,0
