snap_counts_ce,player_id,non_spike_pass_block_percentage,grades_run_block,franchise_id,pass_block_percent,hurries_allowed,snap_counts_block,snap_counts_run_block,pbe,snap_counts_rg,hits_allowed,sacks_allowed,block_percent,grades_offense,penalties,player,non_spike_pass_block,snap_counts_pass_play,position,grades_pass_block,snap_counts_te,pressures_allowed,snap_counts_rt,team_name,snap_counts_pass_block,player_game_count,snap_counts_offense,declined_penalties,snap_counts_lt,snap_counts_lg
0,11945,100.0,50.4,328,100.0,0,42,28,100.0,0,0,0,100.0,56.2,0,Sam Tevi,14,14,T,83.7,1,0,41,UTAH,14,3,42,0,0,0
0,38555,100.0,67.9,138,100.0,0,32,28,100.0,0,0,0,100.0,70.6,0,Korey Cunningham,4,4,T,76.2,0,0,0,CINCINNATI,4,3,32,0,32,0
0,10795,100.0,78.8,110,100.0,9,1006,453,98.5,0,5,1,100.0,81.1,0,Christian Westerman,536,553,G,85.0,0,15,0,ARIZONA ST,553,12,1006,0,0,1006
0,46953,100.0,69.4,341,100.0,26,982,211,97.5,0,3,4,100.0,78.3,6,Cole Madison,748,771,T,83.9,0,33,982,WASH STATE,771,12,982,0,0,0
0,10682,100.0,80.9,190,100.0,6,976,521,98.3,0,3,3,100.0,85.1,2,Jason Spriggs,439,455,T,83.1,1,12,0,INDIANA,455,12,976,1,975,0
0,11826,100.0,86.0,190,100.0,5,972,518,99.3,972,1,0,100.0,86.6,4,Dan Feeney,438,454,G,85.8,0,6,0,INDIANA,454,12,972,1,0,0
0,10716,100.2,89.7,315,100.2,14,945,341,98.3,0,1,2,100.0,90.6,6,Le'Raven Clark,575,603,T,88.3,18,17,0,TEXAS TECH,604,12,945,1,924,0
0,10739,100.0,75.4,138,100.0,13,942,384,97.4,0,8,3,100.0,77.8,5,Parker Ehinger,526,558,T,78.5,0,24,0,CINCINNATI,558,12,942,0,941,0
0,46227,100.0,79.3,261,100.0,12,930,438,97.8,0,1,4,100.0,77.1,11,Orlando Brown Jr.,472,492,T,78.4,0,17,0,OKLAHOMA,492,12,930,1,930,0
0,10802,100.0,91.0,118,100.0,4,927,521,99.2,0,2,0,100.0,91.9,6,Spencer Drango,381,406,T,88.1,59,6,0,BAYLOR,406,12,927,1,868,0
0,10782,100.0,87.0,324,100.0,21,926,412,96.7,311,7,2,100.0,78.0,12,Caleb Benenoch,486,514,T,72.4,0,30,615,UCLA,514,12,926,2,0,0
911,11998,100.0,79.5,118,100.0,3,911,513,98.9,0,1,2,100.0,80.0,5,Kyle Fuller,373,398,C,82.5,0,6,0,BAYLOR,398,12,911,0,0,0
0,10764,100.2,74.9,238,100.2,15,898,396,97.9,0,5,0,100.0,77.5,8,Alex Lewis,473,501,T,82.1,0,20,0,NEBRASKA,502,12,898,1,898,0
0,11919,100.0,89.5,328,100.0,10,885,466,97.7,0,4,2,100.0,87.1,2,Isaac Asiata,394,419,G,71.4,0,16,0,UTAH,419,12,885,0,0,885
415,38554,100.0,75.4,349,100.0,14,882,441,96.7,0,8,3,100.0,73.7,5,Michael Deiter,420,441,G,66.0,0,25,0,WISCONSIN,441,12,882,1,0,467
0,10665,100.0,77.0,312,100.0,17,881,381,97.2,0,2,4,100.0,71.2,11,Germain Ifedi,483,500,T,70.5,0,23,877,TEXAS A&M,500,12,881,1,4,0
0,11912,100.0,73.6,333,100.0,19,872,445,96.6,0,7,1,100.0,74.0,8,Will Holden,413,427,T,73.7,1,27,0,VANDERBILT,427,12,872,2,871,0
0,46290,100.0,85.1,239,100.0,7,862,491,97.3,0,4,4,100.0,85.6,6,Austin Corbett,353,371,T,78.0,0,15,0,NEVADA,371,12,862,1,862,0
0,46961,100.0,89.8,254,100.0,5,857,463,98.4,489,1,3,100.0,90.6,2,Max Scharping,383,394,G,86.8,0,9,368,N ILLINOIS,394,12,857,0,0,0
0,10829,100.0,86.3,285,100.0,8,856,399,97.7,0,4,4,100.0,88.5,0,Wes Schweitzer,441,457,T,81.8,30,16,0,S JOSE ST,457,12,856,0,825,0
0,46131,100.0,93.6,337,100.0,13,853,423,97.3,0,3,3,100.0,87.5,8,Wyatt Teller,404,430,G,68.0,0,19,0,VA TECH,430,12,853,0,0,853
852,47008,100.0,86.8,199,100.0,6,851,452,99.1,0,1,0,99.9,87.2,2,Dalton Risner,373,399,C,84.6,0,7,0,KANSAS ST,399,12,852,0,0,0
29,10855,99.8,78.9,187,99.8,5,849,321,98.8,820,3,2,100.0,78.5,2,Ted Karras,505,529,G,81.4,0,10,0,ILLINOIS,528,12,849,0,0,0
0,38897,100.0,91.8,264,100.0,13,849,451,97.5,0,0,3,100.0,90.3,10,Tyrell Crosby,386,398,T,76.9,3,16,825,OREGON,398,12,849,3,21,0
0,11819,100.0,94.6,347,100.0,6,848,405,98.7,822,3,1,100.0,91.7,3,Taylor Moton,419,443,G,77.5,22,10,2,W MICHIGAN,443,12,848,1,2,0
