zone_attempts,player_id,elusive_rating,gap_attempts,grades_run,fumbles,elu_yco,grades_run_block,franchise_id,grades_offense_penalty,scramble_yards,total_touches,rec_yards,yards,yco_attempt,breakaway_percent,targets,grades_offense,explosive,routes,penalties,player,yprr,elu_rush_mtf,run_plays,touchdowns,ypa,position,breakaway_attempts,breakaway_yards,grades_pass_route,scrambles,attempts,drops,avoided_tackles,grades_pass_block,receptions,team_name,designed_yards,player_game_count,longest,declined_penalties,elu_recv_mtf,first_downs,grades_hands_fumble,grades_pass,yards_after_contact
130,57488,89.7,135,90.4,3,1178.0,56.1,349,45.4,0,287,60,1980,4.22,42.9,15,91.4,52,64,1,Jonathan Taylor,0.94,59,310,15,7.1,HB,31,849,41.9,0,279,3,59,71.9,8,WISCONSIN,1980,12,88,1,2,87,76.1,,1178.0
169,57136,97.6,106,90.1,1,942.0,72.6,110,37.4,0,310,247,1524,3.4,44.9,41,87.5,43,283,2,Eno Benjamin,0.87,76,348,15,5.5,HB,28,684,67.3,0,277,3,76,41.0,33,ARIZONA ST,1524,12,49,0,13,84,90.0,,942.0
238,40485,138.3,24,91.1,1,1027.0,58.5,165,10.0,0,270,36,1335,3.89,47.2,12,88.2,42,203,3,Devin Singletary,0.18,96,324,22,5.1,HB,26,630,36.6,0,264,4,96,90.0,6,FAU,1335,12,44,0,0,79,89.4,60.4,1027.0
154,45817,59.7,105,81.2,0,717.0,62.1,120,88.5,0,289,173,1215,2.74,17.9,31,78.9,30,257,0,Alexander Mattison,0.67,56,313,16,4.6,HB,7,218,60.8,0,262,0,56,44.7,27,BOISE ST,1215,12,59,0,7,74,92.0,,717.0
190,45954,53.1,70,78.8,1,826.0,58.4,202,10.1,0,279,105,1307,3.15,29.1,21,80.6,33,119,3,Benny Snell Jr.,0.88,43,326,14,5.0,HB,16,380,63.9,0,262,1,43,80.8,17,KENTUCKY,1307,12,52,1,4,81,89.3,69.2,826.0
170,45775,69.2,79,83.2,3,865.0,61.9,312,89.4,0,279,282,1520,3.45,42.4,35,80.6,50,280,0,Trayveon Williams,1.01,44,349,15,6.1,HB,26,645,63.0,0,251,1,44,60.3,28,TEXAS A&M,1520,12,73,0,12,80,74.5,,865.0
162,45719,135.7,67,91.2,0,806.0,59.1,193,53.3,0,248,102,1092,3.5,33.1,21,90.8,36,169,1,David Montgomery,0.6,94,269,12,4.7,HB,17,361,62.5,0,230,0,94,79.7,18,IOWA STATE,1092,11,39,1,2,70,91.5,,806.0
92,57165,71.9,134,72.2,1,717.0,55.2,121,88.1,0,234,41,1104,3.17,40.1,11,71.8,24,88,0,AJ Dillon,0.47,53,266,10,4.9,HB,15,443,51.7,0,226,2,53,49.0,8,BOSTON COL,1104,10,74,0,0,49,84.9,,717.0
110,13750,43.0,113,85.4,2,642.0,58.1,324,55.5,0,252,193,1240,2.85,40.0,34,83.5,28,227,1,Joshua Kelley,0.85,34,255,12,5.5,HB,18,496,68.8,0,225,1,34,51.4,27,UCLA,1240,11,61,0,4,60,79.0,,642.0
118,45914,49.6,95,78.7,1,602.0,57.6,340,52.4,0,228,72,1078,2.83,32.0,22,76.2,25,153,1,Myles Gaskin,0.47,38,250,10,5.1,HB,10,345,54.9,0,213,2,38,38.4,15,WASHINGTON,1078,10,80,0,2,46,86.4,,602.0
165,45810,49.0,36,78.8,1,701.0,71.6,306,48.3,0,218,52,1101,3.34,39.9,11,78.9,28,135,1,Ryquell Armstead,0.39,31,248,13,5.2,HB,16,439,55.5,0,210,1,31,75.0,8,TEMPLE,1101,10,75,0,1,60,85.6,,701.0
