player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Quincy Patterson II,77626,QB,TEMPLE,4,60.9,46,49,8.3,2.75,0,0,0.0,40.8,20,0,29,28.6,60,8,15,306,58.7,64.9,49.4,76.4,1,3,63,1,24.1,26.2,11.7,7,4,0,2,0,4,6.3,184,3.8
Jeff Sims,122496,QB,NEBRASKA,3,66.7,45,47,10.8,3.26,1,0,0.0,59.6,28,0,21,6.7,57,2,14,238,19.2,37.8,34.0,53.9,0,6,57,2,28.6,44.2,10.5,6,4,0,1,1,6,10.5,282,6.0
Jack Shields,156830,QB,DOMINION,3,62.8,43,47,13.4,2.9,2,2,3.7,53.2,25,0,25,7.4,61,2,14,263,50.7,40.8,39.3,55.1,2,3,68,0,36.0,65.3,14.8,9,5,0,0,2,4,5.9,353,7.5
Xavier Arline,121831,QB,NAVY,6,71.1,38,44,8.1,3.04,1,4,8.5,52.3,23,0,26,14.8,57,4,14,237,54.7,64.4,56.6,66.2,1,2,60,1,30.8,71.9,14.0,8,5,0,4,2,3,5.0,317,7.2
Gio Lopez,172309,QB,S ALABAMA,4,76.9,39,42,5.5,2.96,1,1,2.3,64.3,27,0,17,10.0,49,3,19,288,71.2,73.3,66.7,72.2,0,2,52,0,5.9,71.7,2.0,1,6,0,2,1,0,0.0,282,6.7
Braxton Woodson,175276,QB,NAVY,4,59.5,37,41,7.8,3.06,0,2,4.8,41.5,17,0,27,22.7,59,5,6,237,30.4,51.0,45.3,59.4,0,1,60,0,37.0,51.2,16.9,10,8,1,3,1,1,1.7,163,4.0
Doug Brumfield,128348,QB,UNLV,4,67.5,40,41,7.7,2.55,1,1,2.3,56.1,23,0,14,14.8,55,4,13,325,72.0,56.9,51.5,65.8,0,2,57,0,50.0,48.9,12.7,7,7,0,0,0,1,1.8,201,4.9
Devin Kargman,156913,QB,KENT STATE,3,55.3,38,40,14.7,2.53,0,3,7.1,52.5,21,0,16,0.0,45,0,16,201,69.9,67.3,66.9,60.0,1,0,47,0,31.3,94.6,11.1,5,0,0,1,2,2,4.3,308,7.7
Ryan Staub,171906,QB,COLORADO,3,70.3,37,40,7.0,2.48,1,1,2.4,57.5,23,0,16,11.5,48,3,13,143,40.1,59.1,64.7,46.4,0,0,49,0,31.3,84.8,10.4,5,3,0,2,1,1,2.0,254,6.4
Levi Williams,98365,QB,UTAH ST,4,75.0,36,40,12.9,3.0,1,3,6.5,57.5,23,0,23,14.8,56,4,14,329,54.7,82.3,73.5,75.6,0,1,63,0,17.4,103.5,7.1,4,12,0,3,4,1,1.6,294,7.4
